"year","zone","measure","value"
"2007","S01001831","Mean",132312
"2000","S01001831","Mean",53400
"2001","S01001831","Mean",79051
"1997","S01001831","Upper Quartile",76000
"2003","S01001831","Upper Quartile",105880
"2002","S01001831","Upper Quartile",110125
"1996","S01001831","Upper Quartile",65000
"2008","S01001831","Upper Quartile",230000
"2006","S01001831","Upper Quartile",152500
"1998","S01001831","Upper Quartile",70000
"1995","S01001831","Upper Quartile",60000
"2007","S01001831","Upper Quartile",159000
"2004","S01001831","Upper Quartile",160555
"1999","S01001831","Upper Quartile",80995
"2011","S01001831","Upper Quartile",117000
"1994","S01001831","Upper Quartile",60000
"2005","S01001831","Upper Quartile",91000
"2012","S01001831","Upper Quartile",125000
"2013","S01001831","Upper Quartile",117500
"2010","S01001831","Upper Quartile",210000
"1993","S01001831","Upper Quartile",59500
"2001","S01001831","Upper Quartile",101777
"2009","S01001831","Upper Quartile",160000
"2000","S01001831","Upper Quartile",68000
"2004","S01001831","Lower Quartile",79050
"2005","S01001831","Lower Quartile",83000
"2006","S01001831","Lower Quartile",94500
"2007","S01001831","Lower Quartile",105000
"2008","S01001831","Lower Quartile",119000
"2009","S01001831","Lower Quartile",97500
"2010","S01001831","Lower Quartile",117500
"2011","S01001831","Lower Quartile",84950
"2012","S01001831","Lower Quartile",90000
"2013","S01001831","Lower Quartile",81159
"2003","S01001831","Lower Quartile",61006
"2002","S01001831","Lower Quartile",54000
"1998","S01001831","Lower Quartile",41950
"1999","S01001831","Lower Quartile",39500
"2000","S01001831","Lower Quartile",40000
"2001","S01001831","Lower Quartile",49230
"1993","S01001831","Lower Quartile",35000
"1994","S01001831","Lower Quartile",38000
"1995","S01001831","Lower Quartile",37950
"1996","S01001831","Lower Quartile",39050
"1997","S01001831","Lower Quartile",56250
"2004","S01001831","Count",8
"2005","S01001831","Count",18
"2006","S01001831","Count",11
"2007","S01001831","Count",14
"2008","S01001831","Count",11
"2009","S01001831","Count",7
"2010","S01001831","Count",5
"2011","S01001831","Count",10
"2012","S01001831","Count",10
"2013","S01001831","Count",12
"2003","S01001831","Count",8
"2002","S01001831","Count",11
"1998","S01001831","Count",10
"1999","S01001831","Count",7
"2000","S01001831","Count",10
"2001","S01001831","Count",10
"1993","S01001831","Count",10
"1994","S01001831","Count",6
"1995","S01001831","Count",14
"1996","S01001831","Count",11
"1997","S01001831","Count",9
"2008","S01001832","Median",135000
"2009","S01001832","Median",116500
"2006","S01001832","Median",119900
"2005","S01001832","Median",91000
"1998","S01001832","Median",44750
"2010","S01001832","Median",120000
"2013","S01001832","Median",117000
"2012","S01001832","Median",102500
"1995","S01001832","Median",40000
"2011","S01001832","Median",102677
"2004","S01001832","Median",90000
"1993","S01001832","Median",39000
"2001","S01001832","Median",50000
"2002","S01001832","Median",60000
"1996","S01001832","Median",44500
"2000","S01001832","Median",44000
"1999","S01001832","Median",46000
"2003","S01001832","Median",71500
"1997","S01001832","Median",42000
"1994","S01001832","Median",37537
"2007","S01001832","Median",130000
"1993","S01001832","Mean",38235
"1994","S01001832","Mean",37057
"1995","S01001832","Mean",40900
"2008","S01001832","Mean",135158
"1996","S01001832","Mean",43082
"2004","S01001832","Mean",88524
"1997","S01001832","Mean",41561
"2005","S01001832","Mean",92792
"2009","S01001832","Mean",105000
"2010","S01001832","Mean",123563
"2011","S01001832","Mean",102677
"2012","S01001832","Mean",103943
"2013","S01001832","Mean",109500
"2006","S01001832","Mean",113080
"2003","S01001832","Mean",71290
"2002","S01001832","Mean",62616
"1998","S01001832","Mean",45835
"1999","S01001832","Mean",44931
"2007","S01001832","Mean",137700
"2000","S01001832","Mean",45085
"2001","S01001832","Mean",50772
"1997","S01001832","Upper Quartile",43000
"2003","S01001832","Upper Quartile",75000
"2002","S01001832","Upper Quartile",70200
"1996","S01001832","Upper Quartile",47000
"2008","S01001832","Upper Quartile",152000
"2006","S01001832","Upper Quartile",127000
"1998","S01001832","Upper Quartile",49000
"1995","S01001832","Upper Quartile",42500
"2007","S01001832","Upper Quartile",160500
"2004","S01001832","Upper Quartile",95000
"1999","S01001832","Upper Quartile",47250
"2011","S01001832","Upper Quartile",121500
"1994","S01001832","Upper Quartile",42556
"2005","S01001832","Upper Quartile",98025
"2012","S01001832","Upper Quartile",104500
"2013","S01001832","Upper Quartile",135000
"2010","S01001832","Upper Quartile",125750
"1993","S01001832","Upper Quartile",44000
"2001","S01001832","Upper Quartile",51840
"2009","S01001832","Upper Quartile",125000
"2000","S01001832","Upper Quartile",48000
"2004","S01001832","Lower Quartile",85000
"2005","S01001832","Lower Quartile",86000
"2006","S01001832","Lower Quartile",103326
"2007","S01001832","Lower Quartile",125000
"2008","S01001832","Lower Quartile",120070
"2009","S01001832","Lower Quartile",87000
"2010","S01001832","Lower Quartile",113500
"2011","S01001832","Lower Quartile",83854
"2012","S01001832","Lower Quartile",95000
"2013","S01001832","Lower Quartile",99000
"2003","S01001832","Lower Quartile",70000
"2002","S01001832","Lower Quartile",58000
"1998","S01001832","Lower Quartile",40010
"1999","S01001832","Lower Quartile",42248
"2000","S01001832","Lower Quartile",43500
"2001","S01001832","Lower Quartile",48500
"1993","S01001832","Lower Quartile",34111
"1994","S01001832","Lower Quartile",32250
"1995","S01001832","Lower Quartile",37000
"1996","S01001832","Lower Quartile",38000
"1997","S01001832","Lower Quartile",36500
"2004","S01001832","Count",17
"2005","S01001832","Count",10
"2006","S01001832","Count",11
"2007","S01001832","Count",16
"2008","S01001832","Count",11
"2009","S01001832","Count",6
"2010","S01001832","Count",8
"2011","S01001832","Count",2
"2012","S01001832","Count",7
"2013","S01001832","Count",6
"2003","S01001832","Count",9
"2002","S01001832","Count",11
"1998","S01001832","Count",6
"1999","S01001832","Count",8
"2000","S01001832","Count",13
"2001","S01001832","Count",8
"1993","S01001832","Count",9
"1994","S01001832","Count",12
"1995","S01001832","Count",5
"1996","S01001832","Count",6
"1997","S01001832","Count",9
"2008","S01001833","Median",279000
"2009","S01001833","Median",249500
"2006","S01001833","Median",250000
"2005","S01001833","Median",249500
"1998","S01001833","Median",85117
"2010","S01001833","Median",275000
"2013","S01001833","Median",273500
"2012","S01001833","Median",263100
"1995","S01001833","Median",93750
"2011","S01001833","Median",272500
"2004","S01001833","Median",225000
"1993","S01001833","Median",87250
"2001","S01001833","Median",156250
"2002","S01001833","Median",199700
"1996","S01001833","Median",85000
"2000","S01001833","Median",131500
"1999","S01001833","Median",124000
"2003","S01001833","Median",220000
"1997","S01001833","Median",94389
"1994","S01001833","Median",85500
"2007","S01001833","Median",270000
"1993","S01001833","Mean",95409
"1994","S01001833","Mean",101708
"1995","S01001833","Mean",91635
"2008","S01001833","Mean",273780
"1996","S01001833","Mean",100233
"2004","S01001833","Mean",240791
"1997","S01001833","Mean",101468
"2005","S01001833","Mean",254214
"2009","S01001833","Mean",317850
"2010","S01001833","Mean",284127
"2011","S01001833","Mean",276831
"2012","S01001833","Mean",254569
"2013","S01001833","Mean",298657
"2006","S01001833","Mean",282426
"2003","S01001833","Mean",207396
"2002","S01001833","Mean",200124
"1998","S01001833","Mean",99529
"1999","S01001833","Mean",141504
"2007","S01001833","Mean",319178
"2000","S01001833","Mean",158082
"2001","S01001833","Mean",178931
"1997","S01001833","Upper Quartile",133000
"2003","S01001833","Upper Quartile",243000
"2002","S01001833","Upper Quartile",230000
"1996","S01001833","Upper Quartile",110000
"2008","S01001833","Upper Quartile",315000
"2006","S01001833","Upper Quartile",296000
"1998","S01001833","Upper Quartile",125000
"1995","S01001833","Upper Quartile",104539
"2007","S01001833","Upper Quartile",350000
"2004","S01001833","Upper Quartile",249000
"1999","S01001833","Upper Quartile",180000
"2011","S01001833","Upper Quartile",285000
"1994","S01001833","Upper Quartile",129500
"2005","S01001833","Upper Quartile",300000
"2012","S01001833","Upper Quartile",290000
"2013","S01001833","Upper Quartile",340000
"2010","S01001833","Upper Quartile",296000
"1993","S01001833","Upper Quartile",110000
"2001","S01001833","Upper Quartile",167198
"2009","S01001833","Upper Quartile",393052
"2000","S01001833","Upper Quartile",195000
"2004","S01001833","Lower Quartile",180000
"2005","S01001833","Lower Quartile",201000
"2006","S01001833","Lower Quartile",222500
"2007","S01001833","Lower Quartile",249500
"2008","S01001833","Lower Quartile",226328
"2009","S01001833","Lower Quartile",213750
"2010","S01001833","Lower Quartile",211000
"2011","S01001833","Lower Quartile",225000
"2012","S01001833","Lower Quartile",183500
"2013","S01001833","Lower Quartile",232500
"2003","S01001833","Lower Quartile",168750
"2002","S01001833","Lower Quartile",179000
"1998","S01001833","Lower Quartile",75126
"1999","S01001833","Lower Quartile",100000
"2000","S01001833","Lower Quartile",103000
"2001","S01001833","Lower Quartile",105348
"1993","S01001833","Lower Quartile",65500
"1994","S01001833","Lower Quartile",73500
"1995","S01001833","Lower Quartile",70250
"1996","S01001833","Lower Quartile",73057
"1997","S01001833","Lower Quartile",69250
"2004","S01001833","Count",33
"2005","S01001833","Count",35
"2006","S01001833","Count",51
"2007","S01001833","Count",39
"2008","S01001833","Count",17
"2009","S01001833","Count",16
"2010","S01001833","Count",21
"2011","S01001833","Count",18
"2012","S01001833","Count",21
"2013","S01001833","Count",28
"2003","S01001833","Count",27
"2002","S01001833","Count",74
"1998","S01001833","Count",28
"1999","S01001833","Count",19
"2000","S01001833","Count",22
"2001","S01001833","Count",16
"1993","S01001833","Count",30
"1994","S01001833","Count",30
"1995","S01001833","Count",24
"1996","S01001833","Count",31
"1997","S01001833","Count",20
"2008","S01001834","Median",134750
"2009","S01001834","Median",120750
"2006","S01001834","Median",120104
"2005","S01001834","Median",85000
"1998","S01001834","Median",50498
"2010","S01001834","Median",42000
"2013","S01001834","Median",122500
"2012","S01001834","Median",105000
"1995","S01001834","Median",43750
"2011","S01001834","Median",134000
"2004","S01001834","Median",93562
"1993","S01001834","Median",42975
"2001","S01001834","Median",60000
"2002","S01001834","Median",67500
"1996","S01001834","Median",49500
"2000","S01001834","Median",55000
"1999","S01001834","Median",52225
"2003","S01001834","Median",70250
"1997","S01001834","Median",49500
"1994","S01001834","Median",42500
"2007","S01001834","Median",130000
"1993","S01001834","Mean",43549
"1994","S01001834","Mean",43700
"1995","S01001834","Mean",43875
"2008","S01001834","Mean",135939
"1996","S01001834","Mean",47583
"2004","S01001834","Mean",93138
"1997","S01001834","Mean",50836
"2005","S01001834","Mean",88452
"2009","S01001834","Mean",121125
"2010","S01001834","Mean",45200
"2011","S01001834","Mean",124625
"2012","S01001834","Mean",111200
"2013","S01001834","Mean",115875
"2006","S01001834","Mean",123686
"2003","S01001834","Mean",75547
"2002","S01001834","Mean",71562
"1998","S01001834","Mean",54921
"1999","S01001834","Mean",50183
"2007","S01001834","Mean",131097
"2000","S01001834","Mean",54960
"2001","S01001834","Mean",74467
"1997","S01001834","Upper Quartile",60000
"2003","S01001834","Upper Quartile",92000
"2002","S01001834","Upper Quartile",82000
"1996","S01001834","Upper Quartile",52500
"2008","S01001834","Upper Quartile",150000
"2006","S01001834","Upper Quartile",130000
"1998","S01001834","Upper Quartile",53750
"1995","S01001834","Upper Quartile",49750
"2007","S01001834","Upper Quartile",144144
"2004","S01001834","Upper Quartile",105010
"1999","S01001834","Upper Quartile",56878
"2011","S01001834","Upper Quartile",143000
"1994","S01001834","Upper Quartile",49000
"2005","S01001834","Upper Quartile",110000
"2012","S01001834","Upper Quartile",123000
"2013","S01001834","Upper Quartile",127500
"2010","S01001834","Upper Quartile",60000
"1993","S01001834","Upper Quartile",49995
"2001","S01001834","Upper Quartile",78995
"2009","S01001834","Upper Quartile",142500
"2000","S01001834","Upper Quartile",59995
"2004","S01001834","Lower Quartile",85500
"2005","S01001834","Lower Quartile",63000
"2006","S01001834","Lower Quartile",115000
"2007","S01001834","Lower Quartile",115595
"2008","S01001834","Lower Quartile",121500
"2009","S01001834","Lower Quartile",99750
"2010","S01001834","Lower Quartile",33600
"2011","S01001834","Lower Quartile",106250
"2012","S01001834","Lower Quartile",97000
"2013","S01001834","Lower Quartile",108500
"2003","S01001834","Lower Quartile",60000
"2002","S01001834","Lower Quartile",52750
"1998","S01001834","Lower Quartile",42500
"1999","S01001834","Lower Quartile",44250
"2000","S01001834","Lower Quartile",50000
"2001","S01001834","Lower Quartile",52500
"1993","S01001834","Lower Quartile",37000
"1994","S01001834","Lower Quartile",40000
"1995","S01001834","Lower Quartile",39250
"1996","S01001834","Lower Quartile",40000
"1997","S01001834","Lower Quartile",44250
"2004","S01001834","Count",12
"2005","S01001834","Count",19
"2006","S01001834","Count",10
"2007","S01001834","Count",11
"2008","S01001834","Count",10
"2009","S01001834","Count",4
"2010","S01001834","Count",3
"2011","S01001834","Count",4
"2012","S01001834","Count",5
"2013","S01001834","Count",8
"2003","S01001834","Count",18
"2002","S01001834","Count",12
"1998","S01001834","Count",10
"1999","S01001834","Count",12
"2000","S01001834","Count",9
"2001","S01001834","Count",17
"1993","S01001834","Count",6
"1994","S01001834","Count",15
"1995","S01001834","Count",8
"1996","S01001834","Count",6
"1997","S01001834","Count",14
"2008","S01001835","Median",217500
"2009","S01001835","Median",174000
"2006","S01001835","Median",185185
"2005","S01001835","Median",173000
"1998","S01001835","Median",64050
"2010","S01001835","Median",266500
"2013","S01001835","Median",250000
"2012","S01001835","Median",216000
"1995","S01001835","Median",89987
"2011","S01001835","Median",193750
"2004","S01001835","Median",140000
"1993","S01001835","Median",54000
"2001","S01001835","Median",80000
"2002","S01001835","Median",132000
"1996","S01001835","Median",58250
"2000","S01001835","Median",80000
"1999","S01001835","Median",71500
"2003","S01001835","Median",125755
"1997","S01001835","Median",92000
"1994","S01001835","Median",59950
"2007","S01001835","Median",202500
"1993","S01001835","Mean",69213
"1994","S01001835","Mean",70344
"1995","S01001835","Mean",88544
"2008","S01001835","Mean",220750
"1996","S01001835","Mean",67271
"2004","S01001835","Mean",179758
"1997","S01001835","Mean",84585
"2005","S01001835","Mean",171261
"2009","S01001835","Mean",174000
"2010","S01001835","Mean",266500
"2011","S01001835","Mean",206458
"2012","S01001835","Mean",250609
"2013","S01001835","Mean",233607
"2006","S01001835","Mean",188236
"2003","S01001835","Mean",170952
"2002","S01001835","Mean",141004
"1998","S01001835","Mean",71616
"1999","S01001835","Mean",76685
"2007","S01001835","Mean",269088
"2000","S01001835","Mean",92614
"2001","S01001835","Mean",94024
"1997","S01001835","Upper Quartile",102000
"2003","S01001835","Upper Quartile",235000
"2002","S01001835","Upper Quartile",195000
"1996","S01001835","Upper Quartile",60000
"2008","S01001835","Upper Quartile",315000
"2006","S01001835","Upper Quartile",248000
"1998","S01001835","Upper Quartile",86250
"1995","S01001835","Upper Quartile",109025
"2007","S01001835","Upper Quartile",295265
"2004","S01001835","Upper Quartile",220000
"1999","S01001835","Upper Quartile",78686
"2011","S01001835","Upper Quartile",248500
"1994","S01001835","Upper Quartile",83575
"2005","S01001835","Upper Quartile",218182
"2012","S01001835","Upper Quartile",250000
"2013","S01001835","Upper Quartile",310000
"2010","S01001835","Upper Quartile",293000
"1993","S01001835","Upper Quartile",79000
"2001","S01001835","Upper Quartile",110555
"2009","S01001835","Upper Quartile",217000
"2000","S01001835","Upper Quartile",130000
"2004","S01001835","Lower Quartile",116075
"2005","S01001835","Lower Quartile",120000
"2006","S01001835","Lower Quartile",116000
"2007","S01001835","Lower Quartile",153500
"2008","S01001835","Lower Quartile",150000
"2009","S01001835","Lower Quartile",131000
"2010","S01001835","Lower Quartile",240000
"2011","S01001835","Lower Quartile",160000
"2012","S01001835","Lower Quartile",140000
"2013","S01001835","Lower Quartile",143500
"2003","S01001835","Lower Quartile",102000
"2002","S01001835","Lower Quartile",106106
"1998","S01001835","Lower Quartile",55500
"1999","S01001835","Lower Quartile",60000
"2000","S01001835","Lower Quartile",68000
"2001","S01001835","Lower Quartile",78200
"1993","S01001835","Lower Quartile",52500
"1994","S01001835","Lower Quartile",54625
"1995","S01001835","Lower Quartile",61250
"1996","S01001835","Lower Quartile",49315
"1997","S01001835","Lower Quartile",60000
"2004","S01001835","Count",15
"2005","S01001835","Count",17
"2006","S01001835","Count",15
"2007","S01001835","Count",11
"2008","S01001835","Count",6
"2009","S01001835","Count",2
"2010","S01001835","Count",2
"2011","S01001835","Count",6
"2012","S01001835","Count",7
"2013","S01001835","Count",14
"2003","S01001835","Count",19
"2002","S01001835","Count",13
"1998","S01001835","Count",16
"1999","S01001835","Count",11
"2000","S01001835","Count",18
"2001","S01001835","Count",17
"1993","S01001835","Count",19
"1994","S01001835","Count",16
"1995","S01001835","Count",12
"1996","S01001835","Count",22
"1997","S01001835","Count",17
"2008","S01001836","Median",225000
"2009","S01001836","Median",228000
"2006","S01001836","Median",280000
"2005","S01001836","Median",205000
"1998","S01001836","Median",158000
"2010","S01001836","Median",385000
"2013","S01001836","Median",330720
"2012","S01001836","Median",350000
"1995","S01001836","Median",70319
"2011","S01001836","Median",380750
"2004","S01001836","Median",188000
"1993","S01001836","Median",86250
"2001","S01001836","Median",152079
"2002","S01001836","Median",130991
"1996","S01001836","Median",78500
"2000","S01001836","Median",128105
"1999","S01001836","Median",105000
"2003","S01001836","Median",105000
"1997","S01001836","Median",68000
"1994","S01001836","Median",81227
"2007","S01001836","Median",270000
"1993","S01001836","Mean",85570
"1994","S01001836","Mean",85029
"1995","S01001836","Mean",78683
"2008","S01001836","Mean",291085
"1996","S01001836","Mean",85047
"2004","S01001836","Mean",264675
"1997","S01001836","Mean",70957
"2005","S01001836","Mean",229203
"2009","S01001836","Mean",224827
"2010","S01001836","Mean",381181
"2011","S01001836","Mean",333757
"2012","S01001836","Mean",352596
"2013","S01001836","Mean",342291
"2006","S01001836","Mean",302141
"2003","S01001836","Mean",163093
"2002","S01001836","Mean",159299
"1998","S01001836","Mean",142036
"1999","S01001836","Mean",110560
"2007","S01001836","Mean",300823
"2000","S01001836","Mean",125522
"2001","S01001836","Mean",150487
"1997","S01001836","Upper Quartile",85000
"2003","S01001836","Upper Quartile",249000
"2002","S01001836","Upper Quartile",185000
"1996","S01001836","Upper Quartile",112000
"2008","S01001836","Upper Quartile",408500
"2006","S01001836","Upper Quartile",365000
"1998","S01001836","Upper Quartile",162153
"1995","S01001836","Upper Quartile",92000
"2007","S01001836","Upper Quartile",399999
"2004","S01001836","Upper Quartile",376000
"1999","S01001836","Upper Quartile",140000
"2011","S01001836","Upper Quartile",480000
"1994","S01001836","Upper Quartile",97000
"2005","S01001836","Upper Quartile",345000
"2012","S01001836","Upper Quartile",425000
"2013","S01001836","Upper Quartile",415000
"2010","S01001836","Upper Quartile",398368
"1993","S01001836","Upper Quartile",94975
"2001","S01001836","Upper Quartile",237000
"2009","S01001836","Upper Quartile",289000
"2000","S01001836","Upper Quartile",176539
"2004","S01001836","Lower Quartile",137050
"2005","S01001836","Lower Quartile",165000
"2006","S01001836","Lower Quartile",229000
"2007","S01001836","Lower Quartile",215000
"2008","S01001836","Lower Quartile",164134
"2009","S01001836","Lower Quartile",158851
"2010","S01001836","Lower Quartile",215000
"2011","S01001836","Lower Quartile",172063
"2012","S01001836","Lower Quartile",280000
"2013","S01001836","Lower Quartile",300000
"2003","S01001836","Lower Quartile",90000
"2002","S01001836","Lower Quartile",82102
"1998","S01001836","Lower Quartile",121777
"1999","S01001836","Lower Quartile",60000
"2000","S01001836","Lower Quartile",71000
"2001","S01001836","Lower Quartile",73200
"1993","S01001836","Lower Quartile",64750
"1994","S01001836","Lower Quartile",68000
"1995","S01001836","Lower Quartile",54526
"1996","S01001836","Lower Quartile",55000
"1997","S01001836","Lower Quartile",49000
"2004","S01001836","Count",12
"2005","S01001836","Count",19
"2006","S01001836","Count",41
"2007","S01001836","Count",31
"2008","S01001836","Count",12
"2009","S01001836","Count",6
"2010","S01001836","Count",6
"2011","S01001836","Count",9
"2012","S01001836","Count",13
"2013","S01001836","Count",19
"2003","S01001836","Count",13
"2002","S01001836","Count",22
"1998","S01001836","Count",5
"1999","S01001836","Count",15
"2000","S01001836","Count",16
"2001","S01001836","Count",7
"1993","S01001836","Count",12
"1994","S01001836","Count",11
"1995","S01001836","Count",12
"1996","S01001836","Count",14
"1997","S01001836","Count",13
"2008","S01001837","Median",242325
"2009","S01001837","Median",245542
"2006","S01001837","Median",270956
"2005","S01001837","Median",242000
"1998","S01001837","Median",100000
"2010","S01001837","Median",339500
"2013","S01001837","Median",289128
"2012","S01001837","Median",196000
"1995","S01001837","Median",120000
"2011","S01001837","Median",355000
"2004","S01001837","Median",215000
"1993","S01001837","Median",81000
"2001","S01001837","Median",97000
"2002","S01001837","Median",165492
"1996","S01001837","Median",75000
"2000","S01001837","Median",170000
"1999","S01001837","Median",148750
"2003","S01001837","Median",170500
"1997","S01001837","Median",101000
"1994","S01001837","Median",132750
"2007","S01001837","Median",238775
"1993","S01001837","Mean",91496
"1994","S01001837","Mean",114933
"1995","S01001837","Mean",109383
"2008","S01001837","Mean",266157
"1996","S01001837","Mean",88311
"2004","S01001837","Mean",236677
"1997","S01001837","Mean",109574
"2005","S01001837","Mean",253517
"2009","S01001837","Mean",279778
"2010","S01001837","Mean",339526
"2011","S01001837","Mean",339813
"2012","S01001837","Mean",197375
"2013","S01001837","Mean",302828
"2006","S01001837","Mean",278417
"2003","S01001837","Mean",183857
"2002","S01001837","Mean",191351
"1998","S01001837","Mean",114040
"1999","S01001837","Mean",152262
"2007","S01001837","Mean",264133
"2000","S01001837","Mean",171388
"2001","S01001837","Mean",125700
"1997","S01001837","Upper Quartile",137580
"2003","S01001837","Upper Quartile",245148
"2002","S01001837","Upper Quartile",229000
"1996","S01001837","Upper Quartile",100000
"2008","S01001837","Upper Quartile",379864
"2006","S01001837","Upper Quartile",400600
"1998","S01001837","Upper Quartile",140222
"1995","S01001837","Upper Quartile",142000
"2007","S01001837","Upper Quartile",368000
"2004","S01001837","Upper Quartile",329500
"1999","S01001837","Upper Quartile",184000
"2011","S01001837","Upper Quartile",427500
"1994","S01001837","Upper Quartile",141000
"2005","S01001837","Upper Quartile",354000
"2012","S01001837","Upper Quartile",208250
"2013","S01001837","Upper Quartile",395000
"2010","S01001837","Upper Quartile",409875
"1993","S01001837","Upper Quartile",118200
"2001","S01001837","Upper Quartile",157222
"2009","S01001837","Upper Quartile",345255
"2000","S01001837","Upper Quartile",212500
"2004","S01001837","Lower Quartile",133300
"2005","S01001837","Lower Quartile",144250
"2006","S01001837","Lower Quartile",165000
"2007","S01001837","Lower Quartile",134500
"2008","S01001837","Lower Quartile",161250
"2009","S01001837","Lower Quartile",220000
"2010","S01001837","Lower Quartile",268250
"2011","S01001837","Lower Quartile",242500
"2012","S01001837","Lower Quartile",186500
"2013","S01001837","Lower Quartile",186495
"2003","S01001837","Lower Quartile",94998
"2002","S01001837","Lower Quartile",102000
"1998","S01001837","Lower Quartile",75000
"1999","S01001837","Lower Quartile",103000
"2000","S01001837","Lower Quartile",97000
"2001","S01001837","Lower Quartile",68577
"1993","S01001837","Lower Quartile",73000
"1994","S01001837","Lower Quartile",78000
"1995","S01001837","Lower Quartile",55500
"1996","S01001837","Lower Quartile",49055
"1997","S01001837","Lower Quartile",77500
"2004","S01001837","Count",21
"2005","S01001837","Count",24
"2006","S01001837","Count",18
"2007","S01001837","Count",10
"2008","S01001837","Count",12
"2009","S01001837","Count",9
"2010","S01001837","Count",16
"2011","S01001837","Count",8
"2012","S01001837","Count",4
"2013","S01001837","Count",24
"2003","S01001837","Count",16
"2002","S01001837","Count",22
"1998","S01001837","Count",35
"1999","S01001837","Count",30
"2000","S01001837","Count",29
"2001","S01001837","Count",17
"1993","S01001837","Count",17
"1994","S01001837","Count",52
"1995","S01001837","Count",15
"1996","S01001837","Count",27
"1997","S01001837","Count",20
"2008","S01001838","Median",131500
"2009","S01001838","Median",146000
"2006","S01001838","Median",133500
"2005","S01001838","Median",105000
"1998","S01001838","Median",52000
"2010","S01001838","Median",86450
"2013","S01001838","Median",110000
"2012","S01001838","Median",147007
"1995","S01001838","Median",65000
"2011","S01001838","Median",132000
"2004","S01001838","Median",105000
"1993","S01001838","Median",47529
"2001","S01001838","Median",60000
"2002","S01001838","Median",61750
"1996","S01001838","Median",44975
"2000","S01001838","Median",50500
"1999","S01001838","Median",46564
"2003","S01001838","Median",75000
"1997","S01001838","Median",52475
"1994","S01001838","Median",60000
"2007","S01001838","Median",148750
"1993","S01001838","Mean",47343
"1994","S01001838","Mean",57442
"1995","S01001838","Mean",62883
"2008","S01001838","Mean",136000
"1996","S01001838","Mean",45000
"2004","S01001838","Mean",134115
"1997","S01001838","Mean",61942
"2005","S01001838","Mean",149598
"2009","S01001838","Mean",147250
"2010","S01001838","Mean",93500
"2011","S01001838","Mean",128660
"2012","S01001838","Mean",138169
"2013","S01001838","Mean",152500
"2006","S01001838","Mean",159333
"2003","S01001838","Mean",94668
"2002","S01001838","Mean",75584
"1998","S01001838","Mean",55727
"1999","S01001838","Mean",45687
"2007","S01001838","Mean",155988
"2000","S01001838","Mean",66041
"2001","S01001838","Mean",61014
"1997","S01001838","Upper Quartile",67700
"2003","S01001838","Upper Quartile",100000
"2002","S01001838","Upper Quartile",90000
"1996","S01001838","Upper Quartile",47550
"2008","S01001838","Upper Quartile",151000
"2006","S01001838","Upper Quartile",170000
"1998","S01001838","Upper Quartile",65000
"1995","S01001838","Upper Quartile",73500
"2007","S01001838","Upper Quartile",157000
"2004","S01001838","Upper Quartile",120000
"1999","S01001838","Upper Quartile",49995
"2011","S01001838","Upper Quartile",132800
"1994","S01001838","Upper Quartile",63500
"2005","S01001838","Upper Quartile",155000
"2012","S01001838","Upper Quartile",150000
"2013","S01001838","Upper Quartile",155000
"2010","S01001838","Upper Quartile",120000
"1993","S01001838","Upper Quartile",53000
"2001","S01001838","Upper Quartile",70000
"2009","S01001838","Upper Quartile",177000
"2000","S01001838","Upper Quartile",56000
"2004","S01001838","Lower Quartile",91091
"2005","S01001838","Lower Quartile",97380
"2006","S01001838","Lower Quartile",115000
"2007","S01001838","Lower Quartile",102000
"2008","S01001838","Lower Quartile",121000
"2009","S01001838","Lower Quartile",117500
"2010","S01001838","Lower Quartile",65000
"2011","S01001838","Lower Quartile",117000
"2012","S01001838","Lower Quartile",95000
"2013","S01001838","Lower Quartile",92500
"2003","S01001838","Lower Quartile",64525
"2002","S01001838","Lower Quartile",56975
"1998","S01001838","Lower Quartile",45000
"1999","S01001838","Lower Quartile",45000
"2000","S01001838","Lower Quartile",43000
"2001","S01001838","Lower Quartile",51000
"1993","S01001838","Lower Quartile",40000
"1994","S01001838","Lower Quartile",46025
"1995","S01001838","Lower Quartile",47000
"1996","S01001838","Lower Quartile",42450
"1997","S01001838","Lower Quartile",40000
"2004","S01001838","Count",11
"2005","S01001838","Count",9
"2006","S01001838","Count",9
"2007","S01001838","Count",18
"2008","S01001838","Count",4
"2009","S01001838","Count",4
"2010","S01001838","Count",7
"2011","S01001838","Count",5
"2012","S01001838","Count",6
"2013","S01001838","Count",7
"2003","S01001838","Count",15
"2002","S01001838","Count",12
"1998","S01001838","Count",9
"1999","S01001838","Count",11
"2000","S01001838","Count",9
"2001","S01001838","Count",7
"1993","S01001838","Count",6
"1994","S01001838","Count",9
"1995","S01001838","Count",9
"1996","S01001838","Count",4
"1997","S01001838","Count",6
"2008","S01001839","Median",110000
"2009","S01001839","Median",117500
"2006","S01001839","Median",98779
"2005","S01001839","Median",98180
"1998","S01001839","Median",39000
"2010","S01001839","Median",100000
"2013","S01001839","Median",100000
"2012","S01001839","Median",109500
"1995","S01001839","Median",43500
"2011","S01001839","Median",103500
"2004","S01001839","Median",93500
"1993","S01001839","Median",45000
"2001","S01001839","Median",53475
"2002","S01001839","Median",65050
"1996","S01001839","Median",50000
"2000","S01001839","Median",43000
"1999","S01001839","Median",48550
"2003","S01001839","Median",93500
"1997","S01001839","Median",41750
"1994","S01001839","Median",40250
